Item Code,Item Name,Retail Price,Cost,Category
4800016484070,WIGGLES CHOCOLATE MARSHMALLOWS 126G,38,28.66,SNACKS
4804888800013,ZEST-O 200ML,95,85,BEVERAGES
4800361362139,MILO CHOCOMALT DRINK 180ML,28,24,Ready To Drink Milk
4806536770020,KIM SARDINES RED 155G,20,17,Sardines
4800527123055,YOUNG`S TOWN SARDINES RED 155G,24,23,Sardines
4806504710119,MEGA SARDINES 155G,23,21,Sardines
4800154564030,UNI-PAK SALTED BLACK BEANS 155G,24,22,Others
4806511010486,CORN BITS SARAP MIX 10G,12,11,SNACKS
4800092110115,BRAVO WITH SESAME SEEDS 300G,59,53,SNACKS
4800010075526,CREAM-O VANILLA CHOCOLATE SANDWICH,69,66,SNACKS
4807770272554,LUCKY ME PANCIT CANTON SWEET & SPICY,12,11,Instant Noodles & Canton
4800103342047,CHUBBY PEANUT,22,18,Others
4800103341842,CHUBBY CARAMEL,22,18,Others
4800103341989,CHUBBY MILK,19,18,Others
4800092110856,KRIM STIX MILK STICK,30,18,Others
150,MASCADAS SSS,175,145,Others
4800174071006,KROPECK FISH CURRY 100G,20,18,SNACKS
4800174051008,PRAWN CRACKERS 100G,28,26,SNACKS
8850006327463,COLGATE TRIPLE ACTION VALUE PACK,190,185,Others
4806506319198,SUPER TWINS BABY PANTS M52+4 FREE PADS,391,380,Others
4806507831989,JUICY COLOGNE SPRIGHTLY SPRINKLE 25ML,18,15,Others
4806507831972,JUICY COLOGNE ICYLICIOUS 25ML,18,15,Others
4806506319600,TWINS LAMPEIN L 34PCS.,243,230,Others
4987176600776,VICKS,58,55,Others
4800092110559,SUPER STIX MOCHA,74,72,Others
4806506319259,SUPER TWINS BABY PANTS XXL 38+4 FREE PADS,369,360,Others
8850006322949,COLGATE FRESH CONFIDENCE 63G,73,60,Others
4902430452793,DOWNY GARDEN BLOOM 900ML,152,140,Others
4806506319051,SUPER TWINS BABY PANTS M8 PADS,69,66,Others
4809014829050,TOWER SPECIAL MISUA,43,42,Others
4902430495141,SAFEGUARD FLORAL PINK,39,35,Others
4806506319730,TWINS LAMPEIN BABY COMFORT L- 4PCS,36,31,Others
4806507831088,SILKA PAPAYA 135G,49,44,Others
4806020497334,SPEED WITH KALAMANSI 380G,23,22,Others
4800016604232,NOVA BBQ 78G,35,28,SNACKS
4800016641503,CHIPPY CHILI & CHEESE,24,22,SNACKS
4807770101694,BUTTER COCONUT 90G,24,18,SNACKS
4800092772528,CRIS CROSS,7,6,SNACKS
4806506319723,TWINS LAMPEIN BABY CONFORT M 4 PADS,31,29,Others
5,SALT 1/2 KILO,5,4,Others
4800365101017,SUPER CRUNCH CORNCHIPS SWEET CORN ,12,11,SNACKS
4800045330058,PRIDE KALAMANSI & JASMINE 360G,23,20,Others
4800092332791,DINGDONG  MIXED NUTS 30G,10,8,SNACKS
4800818808371,BUTTERKIST,38,34,Others
298623431,SURF POWDER 1/2 DZ,40,34,Others
4800045330065,PRIDE BAR 380G,23,20,Others
4800888136800,SURF OXYBUBBLES TAWAS PUTI 360G,23,22,Others
4800016012365,PREMIUM STICK 25G,60,55,Others
48041812,MIGHTY GREEN,130,108,Others
4801032215044,RED HORSE IN CAN,65,50,Hard Liquor
8850006325230,COLGATE FRESH CONFEDENCE GREEN 20G,9,8,Others
720676936,PALMOLIVE GREEN 1/2 DZ,38,34,Others
8850006480724,PALMOLIVE GLOSSY SHINE,7,6,Others
4800361413503,MILO 1 DOZEN,110,105,Others
4800101008884,LION-TIGER,20,19,Others
223104897,COKE MISMO,22,21,BEVERAGES
613924182,FAMILY TINAPA 1 CASE,2200,1980,Sardines
573887738,SUPER Q 1KLO 1 SACK,1000,950,Others
990825330,OIL 1 CONT.,1180,1140,Others
4800488960294,EQ PANTS L 10PCS,89,85,Others
4902430698085,PANTENE HAIR FALL CONTROL ,7,70,Others
477631626,HARINA 3CLASS ,500,520,Others
155069701,RED HORSE 1 CASE,595,575,Others
4902430951357,SAFEGUARD FLORAL PINK WITH ALOE 60G,22,19,Others
638929451,PEANUT BUTTER,60,50,Others
852055277,EGG 1/2 TRAY,105,80,Others
599092189,PILIT PER KILO,58,56,Rice
199403908,AJI-NO-MOTO,4,3,Condiments
361737249,MONGGO PER KILO,80,70,Others
431244739,C4 1 SACK 25KLS ,1260,920,Rice
617689829,PANCIT CANTON 1 DOZ,144,135,Instant Noodles & Canton
4800045380183,SHIELD,15,13,Others
8996001440049,ENERGEN CHOCOLATE 40G,10,7,Milk Powder
4806507832214,SILKA GREEN 65G,24,22,Others
7622300761349,MINI OREO ORIGINAL,42,38,Others
8850389100684,MOGU MOGU LYCHEE,47,43,BEVERAGES
4800194177955,OISHI PRAWN CRACKERS SWEET & EXTRA HOT 90G,25,23,SNACKS
731126101042,NAGARAYA ORIGINAL 40G,15,11,SNACKS
4800488960300,EQ PANTS XL 10PCS,97,92,Others
4800010961447,CLOUD 9,10,7,SNACKS
4800016629686,POTATO CHIPS CLASSIC SALTED 130G,75,64,SNACKS
4800528456367,HOBE PANCIT CANTON,41,43,Instant Noodles & Canton
4800130728128,G.S.M BLUE MOJITO,130,108,Hard Liquor
748485401508,BIRCH TREE FORTIFIED 300G,98,90,Milk Powder
4800365881056,SUPER DELIGHTS CHOCOLATE CHIP COOKIES 175G,55,50,SNACKS
4800575885035,LIBERTY CONDENSADA 160ML,35,30,Condensed Milk
4800092111280,PARTY MIX,385,370,Others
4800009390456,SEASONS TROPICAL FRUIT622G,65,65,Others
4806020421940,WINROX 500ML,20,18,Others
4808680021355,LADY S CHOICE REAL MAYONAISE 80ML,35,34,Others
616662432,BOMBAY 1 GRAM,17,9,Others
8410028901166,ALFONSO LIGHT 1;75L,650,550,Hard Liquor
4800818826054,OTSO ORANGE,35,34,Others
9555192506287,SKITTLES,40,39,Others
4801958342008,VITSIN YELLOW,7,6,Others
4800092556791,TOSTAS 205G,55,51,Others
4806511010462,BARQUILLOS,22,20,SNACKS
8801043061674,STIRY TRAY SHIN NOODLES,79,78,Others
4808647310034,TANG ORANGE 125G,95,87,Others
4807770121203,NISSIN WAFER STICK O CHOCO,60,55,SNACKS
4800016635809,PIATTOS SUPERSIZED SOUR CREAM AND ONION 170G,59,58,Others
4806502350119,SANICARE COTTON 45G,25,24,Others
4806502352724,FEMME COTTON PADS,31,30,Others
1200108000660,RUFFLES SOUR CREAM ONION,160,155,Others
8850006321539,COLGATE 126G,107,100,Others
509720627,TIKTIK PER KILO,19,20,Others
4800249045529,BIGTIME CHEESE,98,90,Others
4800016043093,NIPS WHITE CHOCOLATE,25,23,SNACKS
4809012817899,TAWAS NATURAL BLUE,12,11,Others
4800086043634,SELECTA COFFEE CRUMBLE 450ML,100,90,Others
202496590,MAIS PINO 1/2 KILO,19,16,Others
881171940,YEMA PER,5,4,Others
